product_id,product_name,category,price,quantity_sold,rating,review_count
1,Because Lawyer,Shoes,727.3,32.0,1.5,669
2,Economic Support,Laptops,140.29,154.0,3.1,18
3,Likely Pull,Electronics,1637.46,385.0,2.9,208
4,Know Reality,Clothing,1234.16,274.0,2.6,517
5,Analysis Course,Shoes,453.45,398.0,1.6,877
6,Situation Easy,Clothing,1066.77,348.0,2.6,344
7,Director Among,Electronics,800.04,360.0,,608
8,Require Hit,Home,173.66,444.0,2.9,559
9,Avoid Paper,Laptops,685.99,277.0,1.1,391
10,Interest Sense,Electronics,119.14,439.0,3.1,874
11,Wrong Per,Shoes,294.3,263.0,4.8,927
12,Fill Allow,Electronics,1696.46,7.0,2.3,699
13,Hot Road,Shoes,1474.36,248.0,1.6,628
14,Success Operation,Home,1278.29,331.0,2.4,613
15,Every Since,Home,1776.05,309.0,1.2,736
16,Role Deep,Electronics,754.06,59.0,4.3,422
17,Why Simple,Books,537.54,185.0,3.6,436
18,Financial Far,Shoes,1187.09,491.0,1.9,553
19,Yes Join,Electronics,947.04,324.0,1.9,42
20,Prevent Morning,Laptops,1924.2,133.0,4.0,632
21,Make Party,Shoes,831.22,118.0,3.5,599
22,Bank Like,Shoes,1744.94,315.0,2.8,690
23,Peace Nor,Electronics,883.51,470.0,2.5,705
24,Prepare Guess,Books,495.52,475.0,2.0,358
25,Card Million,Electronics,454.99,,4.9,171
26,Itself Send,Shoes,1397.48,406.0,2.6,603
27,Worker Chance,Electronics,1521.59,190.0,2.0,572
28,Measure Read,Electronics,802.59,355.0,2.2,556
29,Nothing Wish,Laptops,1810.51,,4.8,958
30,Minute Energy,Home,86.68,415.0,4.2,869
31,Service Top,Books,1632.73,228.0,4.4,571
32,Special Doctor,Shoes,1919.62,49.0,3.9,985
33,Account Dog,Books,1058.89,294.0,2.1,909
34,Month Believe,Clothing,1927.29,195.0,3.3,813
35,Throw Bit,Laptops,,283.0,4.4,291
36,Report On,Home,,392.0,1.7,607
37,Become Class,Home,1275.18,72.0,1.8,390
